,Address,Full Location,Neighborhood,Area,Borough,Price,Baths,Beds
73,"260 Audubon Avenue, Apt 32A","Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,2562.0,1.0,2
74,Wall Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2964.0,1.0,0
75,"297 Troutman Street, Apt 4L","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,2520.0,1.0,2
76,"45 West 60th Street, Apt 9G","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,3497.0,1.0,1
77,"10 West 76th Street, Apt 4B","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2000.0,1.0,0
78,"310 East 19th Street, Apt 18","Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,4353.0,1.0,3
79,"1 Arden Street, Apt 10","Fort George, Washington Heights, Upper Manhattan, Manhattan",Fort George,Washington Heights,Manhattan,1725.0,1.0,1
80,"297 Troutman Street, Apt 4L","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,2520.0,1.0,2
81,"45 West 60th Street, Apt 9G","Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,3497.0,1.0,1
82,"10 West 76th Street, Apt 4B","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2000.0,1.0,0
83,"310 East 19th Street, Apt 18","Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,4353.0,1.0,3
84,"652 West 163rd Street, Apt 1","Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,1795.0,1.0,1
85,"664 West 163rd Street, Apt 33","Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,1950.0,1.0,1
86,"100 West 31st Street, Apt 27E","Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,3650.0,1.0,0
87,"1 Arden Street, Apt 10","Fort George, Washington Heights, Upper Manhattan, Manhattan",Fort George,Washington Heights,Manhattan,1725.0,1.0,1
88,"237 Sullivan Street, Apt 2B","Greenwich Village, Downtown Manhattan, Manhattan",Greenwich Village,Downtown Manhattan,Manhattan,3025.0,1.0,1
89,"350 East 79th Street, Apt 14G","Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,4487.0,1.0,1
90,"232 Elizabeth Street, Apt 6E","NoLita, Downtown Manhattan, Manhattan",NoLita,Downtown Manhattan,Manhattan,3795.0,1.0,1
91,"100 West 31st Street, Apt 16J","Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,4367.0,1.0,1
92,"21 West 86th Street, Apt 9H","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,3605.0,1.0,1
93,"178-02 Hillside Avenue, Apt 50...","Jamaica, Southeastern Queens, Queens",Jamaica,Southeastern Queens,Queens,2175.0,1.0,1
94,"237 Sullivan Street, Apt 3E","Greenwich Village, Downtown Manhattan, Manhattan",Greenwich Village,Downtown Manhattan,Manhattan,3100.0,1.0,1
95,"314 West 89th Street, Apt 5","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2450.0,1.0,1
96,"29 7th Avenue South, Apt 4C","West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,7900.0,2.0,4
97, 1st Ave,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,2500.0,1.0,1
98,East 53rd Street and 2nd Ave,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,2100.0,1.0,0
99,"701 West 184th Street, Apt 4H","Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",Hudson Heights,Washington Heights,Manhattan,1985.0,1.0,1
100,East 53rd Street and 2nd Ave,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,2100.0,1.0,0
101,"701 West 184th Street, Apt 4H","Hudson Heights, Washington Heights, Upper Manhattan, Manhattan",Hudson Heights,Washington Heights,Manhattan,1985.0,1.0,1
102,"42 East 63rd Street, Apt 2B","Lenox Hill, Upper East Side, Upper Manhattan, Manhattan",Lenox Hill,Upper East Side,Manhattan,2275.0,1.0,0
103,"620 Lenox Avenue, Apt 4G","Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,1825.0,1.0,0
