,Address,Full Location,Neighborhood,Area,Borough,Price,Baths,Beds
18235,West 48th Street,"Midtown East, Midtown Manhattan, Manhattan",Midtown East,Midtown Manhattan,Manhattan,5500.0,1.0,1
18236,Aastoria Blvd and 27th st,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,4500.0,2.0,2
18237,30th Ave,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2450.0,1.0,1
18238,Water Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3364.0,1.0,1
18239,E 95th St.,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,4000.0,2.0,2
18240,30th Ave,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2450.0,1.0,1
18241,Water Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3364.0,1.0,1
18242,E 95th St.,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,4000.0,2.0,2
18243,"139 22nd St, Apt 1","Greenwood Heights, South Brooklyn, Brooklyn",Greenwood Heights,South Brooklyn,Brooklyn,2550.0,1.0,1
18244,"305 Lexington Ave, Apt 2A","Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,3995.0,1.0,2
18245,Jones St,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,2750.0,1.0,1
18246,"157 East 57 Street, Apt 11","Midtown East, Midtown Manhattan, Manhattan",Midtown East,Midtown Manhattan,Manhattan,4500.0,1.0,3
18247,Duane Street,"Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,5900.0,2.0,2
18248,Prince St.,"NoLita, Downtown Manhattan, Manhattan",NoLita,Downtown Manhattan,Manhattan,3843.0,1.0,2
18249,Ludlow St.,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,4595.0,1.0,3
18250,Stanton Street,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,6870.0,2.0,4
18251,Stanton Street,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,4000.0,1.0,2
18252,West Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,5100.0,2.0,2
18253,East 65th Street,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,3990.0,1.0,1
18254,Clinton Street & rivington st ...,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,2575.0,1.0,1
18255,East 102nd Street,"East Harlem, Upper Manhattan, Manhattan",East Harlem,Upper Manhattan,Manhattan,4195.0,1.0,0
18256,Jane Street,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,4100.0,1.0,1
18257,Hanover Square,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2745.0,1.0,0
18258,"25-20 21st Street, Apt 3B","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2200.0,1.0,2
18259,W 96,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,4650.0,2.0,4
18260,W 96,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,4650.0,2.0,4
18261,St Marks Place,"East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,3295.0,1.0,2
18262,30th Ave & 35th street,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,1925.0,1.0,1
18263,Wilson Avenue,"Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,4000.0,2.0,5
18264,"51 Mac Donough Street, Apt 2","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2700.0,1.0,1
18265,E 68th St,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,4775.0,1.0,1
18266,"522 West 157th Street, Apt 2F","Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,800.0,2.0,0
18267,"567 West 149th Street, Apt 34","Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",Hamilton Heights,West Harlem,Manhattan,925.0,2.0,0
18268,Ludlow St.,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,7450.0,2.0,3
18269,Suffolk Street,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,4395.0,1.0,2
18270,Ludlow Street,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,3495.0,1.0,2
18271,27th Street,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,4980.0,2.0,3
18272,Essex St,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,3995.0,1.0,2
18273,West 96th Street,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2937.0,1.0,1
18274,Water Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,5200.0,2.0,2
18275,Elizabeth Street,"Little Italy, Downtown Manhattan, Manhattan",Little Italy,Downtown Manhattan,Manhattan,6190.0,2.0,3
18276,Steinway Street,"Steinway, Astoria, Northwestern Queens, Queens",Steinway,Astoria,Queens,2400.0,1.0,2
18277,West 74th Street,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,3200.0,1.0,1
18278,Mulberry Street,"Little Italy, Downtown Manhattan, Manhattan",Little Italy,Downtown Manhattan,Manhattan,4295.0,1.0,2
18279,"25-48 44th Street, Apt 3F","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,1850.0,1.0,1
18280,"1242 Herkimer St, Apt 2","Ocean Hill, Central Brooklyn, Brooklyn",Ocean Hill,Central Brooklyn,Brooklyn,2150.0,2.0,2
18281,"392 Tompkins Ave, Apt 4","Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,3900.0,2.0,3
18282,West Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3395.0,1.0,0
18283,South End Avenue,"Battery Park City, Downtown Manhattan, Manhattan",Battery Park City,Downtown Manhattan,Manhattan,2978.0,1.0,1
18284,Broad Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3695.0,1.0,1
18285,30th Av,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,1300.0,1.0,2
18286,E 84th St.,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,2818.0,1.0,1
18287,Cornelia Street,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,2750.0,1.0,2
18288,Dekalb Ave & Tompkins Ave,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,2675.0,1.0,2
18289,32nd St,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,2677.0,1.0,1
18290,E 10th Street,"East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,4475.0,2.0,2
18291,West 139th Street,"Hamilton Heights, West Harlem, Upper Manhattan, Manhattan",Hamilton Heights,West Harlem,Manhattan,2585.0,1.0,3
18292,West 58th Street,"Theater District, Midtown Manhattan, Manhattan",Theater District,Midtown Manhattan,Manhattan,3750.0,1.0,1
18293,75th St & Central Park West,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,3300.0,1.0,1
18294,East 35th Street,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,3595.0,1.0,2
18295,Water Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3025.0,1.0,0
18296,354 West 11th Street,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,2150.0,5.0,0
18297,116th Street,"Kew Gardens, Northeastern Queens, Queens",Kew Gardens,Northeastern Queens,Queens,2095.0,1.0,1
18298,W 54th St.,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2795.0,1.0,1
18299,Metropolitan Ave,"East Williamsburg, Williamsburg, Northern Brooklyn, Brooklyn",East Williamsburg,Williamsburg,Brooklyn,2695.0,1.0,2
18300,Upper West Side,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2350.0,1.0,0
18301,Gold Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,2650.0,1.0,0
18302,Elizabeth St,"NoLita, Downtown Manhattan, Manhattan",NoLita,Downtown Manhattan,Manhattan,4703.0,1.0,2
18303,Mulberry Street,"Little Italy, Downtown Manhattan, Manhattan",Little Italy,Downtown Manhattan,Manhattan,3733.0,1.0,1
18304,Forsyth Street,"Bowery, Downtown Manhattan, Manhattan",Bowery,Downtown Manhattan,Manhattan,3500.0,1.0,2
18305,Wall Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2695.0,1.0,0
18306,East 9th Street,"Alphabet City, East Village, Downtown Manhattan, Manhattan",Alphabet City,East Village,Manhattan,5995.0,2.0,4
18307,East 39th Street,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,6890.0,2.0,4
18308,AVE A,"Alphabet City, East Village, Downtown Manhattan, Manhattan",Alphabet City,East Village,Manhattan,2118.0,1.0,1
18309,260 West 27th St,"Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,2250.0,1.0,0
18310,Second Avenue And East 30th St...,"Kips Bay, Midtown Manhattan, Manhattan",Kips Bay,Midtown Manhattan,Manhattan,2895.0,1.0,1
18311,"235 Adams St, Apt 5K","Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,2400.0,1.0,1
18312,West 16th Street,"Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,5787.0,1.0,3
18313,Tenth Avenue,"Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,6850.0,2.0,3
18314,West 10th Street,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,3100.0,1.0,1
18315,Broadway,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,4695.0,2.0,2
18316,10th Avenue,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2360.0,1.0,0
18317,West 48 Street,"Theater District, Midtown Manhattan, Manhattan",Theater District,Midtown Manhattan,Manhattan,4910.0,2.0,2
18318,Horatio Street,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,4492.0,1.0,1
18319,West 109 Street,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",Manhattan Valley,Upper West Side,Manhattan,1900.0,1.0,0
18320,E 55th St.,"Midtown East, Midtown Manhattan, Manhattan",Midtown East,Midtown Manhattan,Manhattan,1850.0,1.0,0
18321,"17 West 125th Street, Apt 4G","Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,2499.0,1.0,1
18322,23-27 31st road,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,1800.0,1.0,0
18323,Broadway/30th St,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2650.0,1.0,2
18324,"11-07 Welling Court, Apt 3C","Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,2888.0,1.0,1
18325,Broadway,"Manhattanville, West Harlem, Upper Manhattan, Manhattan",Manhattanville,West Harlem,Manhattan,2295.0,1.0,1
18326,East 65 Street,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,1750.0,1.0,1
18327,Horatio Street,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,4400.0,1.0,2
18328,East 9th Street,"Alphabet City, East Village, Downtown Manhattan, Manhattan",Alphabet City,East Village,Manhattan,3850.0,1.0,2
18329,West 42nd St.,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,3625.0,1.0,1
18330,TRIBECA LUXURY,"Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,2670.0,1.0,0
18331,West 102nd St,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",Manhattan Valley,Upper West Side,Manhattan,1899.0,1.0,0
18332,Second Avenue,"East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,2575.0,1.0,0
18333,Jackson Avenue,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,3800.0,2.0,2
18334,E 39th St,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,4155.0,1.0,1
18335,Ludlow Street,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,5195.0,2.0,3
18336,Allen St.,"Bowery, Downtown Manhattan, Manhattan",Bowery,Downtown Manhattan,Manhattan,3550.0,1.0,2
18337,South 1st Street,"Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,3075.0,1.0,0
18338,Exchange Place,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,5400.0,2.0,2
18339,Leonard Street,"Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,5395.0,2.0,2
18340,Prince Street,"NoLita, Downtown Manhattan, Manhattan",NoLita,Downtown Manhattan,Manhattan,3400.0,1.0,1
18341,South 1st Street,"Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,3075.0,1.0,0
18342,Exchange Place,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,5400.0,2.0,2
18343,Leonard Street,"Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,5395.0,2.0,2
18344,East 85th street ,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,4275.0,2.0,2
18345,"28th street & 39th Avenue, LIC...","Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,2500.0,1.0,3
18346,E 46th St.,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,2658.0,1.0,1
18347,St Marks Place ,"East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,2550.0,1.0,0
18348,West 47 Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,5295.0,3.0,4
18349,West St.,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,2850.0,1.0,1
18350,West 30th Street,"Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,2350.0,1.0,0
18351,Ashland Place,"Fort Greene, Northwestern Brooklyn, Brooklyn",Fort Greene,Northwestern Brooklyn,Brooklyn,3629.0,1.0,1
18352,Bridge Street,"Downtown Brooklyn, Northwestern Brooklyn, Brooklyn",Downtown Brooklyn,Northwestern Brooklyn,Brooklyn,5300.0,2.0,2
18353,John Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3000.0,1.0,0
18354,East 34th Street,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,2995.0,1.0,1
18355,Beekman Place,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,2155.0,1.0,0
18356,Second Avenue,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,2725.0,1.0,1
18357,Broadway & W 164th ,"Washington Heights, Upper Manhattan, Manhattan",Washington Heights,Upper Manhattan,Manhattan,2725.0,1.0,2
18358,47th st & 9th ave,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,2350.0,1.0,0
18359,Parade Place,"Flatbush, Central Brooklyn, Brooklyn",Flatbush,Central Brooklyn,Brooklyn,2395.0,1.0,1
18360,Parade Place,"Flatbush, Central Brooklyn, Brooklyn",Flatbush,Central Brooklyn,Brooklyn,2395.0,1.0,1
18361,Pearson Street,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,4470.0,2.0,2
18362,Pearson Street,"Long Island City, Northwestern Queens, Queens",Long Island City,Northwestern Queens,Queens,3450.0,1.0,1
18363,Lexington Avenue,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,5380.0,1.0,3
18364,488 Amsterdam Avenue,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,1525.0,1.0,0
18365,West 79th Street,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,2250.0,1.0,0
18366,East 77th Street,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,2100.0,1.0,0
18367,West 21st Street,"Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,6500.0,1.0,3
18368,Dean Street,"North Slope, Park Slope, South Brooklyn, Brooklyn",North Slope,Park Slope,Brooklyn,3575.0,1.0,2
18369,East 26th Street,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,3319.0,1.0,1
18370,Rutgers Street,"Two Bridges, Downtown Manhattan, Manhattan",Two Bridges,Downtown Manhattan,Manhattan,3477.0,1.0,1
18371,Broome St.,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,3640.0,1.0,2
18372,West Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3850.0,1.0,1
18373,West 4th Street,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,4100.0,1.0,1
18374,East 47th Street,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,6790.0,2.0,4
18375,Worth Street,"Civic Center, Downtown Manhattan, Manhattan",Civic Center,Downtown Manhattan,Manhattan,4100.0,1.0,1
18376,Lexington Avenue,"East Harlem, Upper Manhattan, Manhattan",East Harlem,Upper Manhattan,Manhattan,3395.0,1.0,2
18377,336 West 47th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,1675.0,1.0,0
18378,201 EAST 12TH,"East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,5150.0,1.0,2
18379,E 28th St,"NoMad, Midtown Manhattan, Manhattan",NoMad,Midtown Manhattan,Manhattan,11540.0,3.0,3
18380,336 West 47th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,1675.0,1.0,0
18381,201 EAST 12TH,"East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,5150.0,1.0,2
18382,E 28th St,"NoMad, Midtown Manhattan, Manhattan",NoMad,Midtown Manhattan,Manhattan,11540.0,3.0,3
18383,West Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3230.0,1.0,0
18384,Water Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,5200.0,2.0,2
18385,482 West Broadway,"SoHo, Downtown Manhattan, Manhattan",SoHo,Downtown Manhattan,Manhattan,3500.0,1.0,1
18386,West 56th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,3800.0,1.0,1
18387,West 68th Street,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,2154.0,1.0,0
18388,972 Greene Ave,"Bedford-Stuyvesant, Northern Brooklyn, Brooklyn",Bedford-Stuyvesant,Northern Brooklyn,Brooklyn,980.0,2.0,0
18389,East 52nd Street,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,3415.0,1.0,2
18390,Eighth Avenue,"Central Harlem, Upper Manhattan, Manhattan",Central Harlem,Upper Manhattan,Manhattan,3550.0,2.0,3
18391,Horatio Street,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,4095.0,1.0,0
18392,West 14th Street,"West Village, Downtown Manhattan, Manhattan",West Village,Downtown Manhattan,Manhattan,5295.0,1.0,2
18393,"419 Myrtle Avenue, Apt 4C","Clinton Hill, Northwestern Brooklyn, Brooklyn",Clinton Hill,Northwestern Brooklyn,Brooklyn,2150.0,1.0,1
18394,West 58th Street,"Theater District, Midtown Manhattan, Manhattan",Theater District,Midtown Manhattan,Manhattan,2395.0,1.0,0
18395,York Avenue,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,1895.0,1.0,0
18396,Ludlow St,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,3300.0,1.0,2
18397,Ludlow Street,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,3300.0,1.0,2
18398,East Houston Street,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,3323.0,1.0,0
18399,Hicks St.,"Brooklyn Heights, Northwestern Brooklyn, Brooklyn",Brooklyn Heights,Northwestern Brooklyn,Brooklyn,2995.0,1.0,2
18400,Hicks St.,"Brooklyn Heights, Northwestern Brooklyn, Brooklyn",Brooklyn Heights,Northwestern Brooklyn,Brooklyn,2995.0,1.0,2
18401,Atlantic Avenue,"Cobble Hill, South Brooklyn, Brooklyn",Cobble Hill,South Brooklyn,Brooklyn,3595.0,1.0,1
18402,West 73rd Street,"Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,3346.0,1.0,1
18403,West 55th Street & 8th Ave,"Hell's Kitchen, Midtown Manhattan, Manhattan",Hell's Kitchen,Midtown Manhattan,Manhattan,3450.0,1.0,1
18404,"333 East 49th Street, Apt 9PW","Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,2615.0,1.0,1
18405,Blue Slip,"Greenpoint, Northern Brooklyn, Brooklyn",Greenpoint,Northern Brooklyn,Brooklyn,3669.0,1.0,1
18406,John Street,"Financial District, Downtown Manhattan, Manhattan",Financial District,Downtown Manhattan,Manhattan,3911.0,1.0,1
18407,York Avenue,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,3195.0,1.0,2
18408,668 Rutland Rd,"Wingate, East Flatbush, Central Brooklyn, Brooklyn",Wingate,East Flatbush,Brooklyn,2567.0,1.0,3
18409,W 189,"Fort George, Washington Heights, Upper Manhattan, Manhattan",Fort George,Washington Heights,Manhattan,2700.0,1.0,3
18410,East 52nd Street,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,1990.0,1.0,0
18411,40 Harrison - Tribeca,"Tribeca, Downtown Manhattan, Manhattan",Tribeca,Downtown Manhattan,Manhattan,4895.0,1.0,1
18412,East 39th Street,"Murray Hill, Midtown Manhattan, Manhattan",Murray Hill,Midtown Manhattan,Manhattan,6259.0,2.0,2
18413,57th Avenue,"South Corona, Corona, Northwestern Queens, Queens",South Corona,Corona,Queens,1643.0,1.0,0
18414,East 27th Street,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,3295.0,1.0,1
18415,East 13th Street,"East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,3965.0,1.0,2
18416,Hoe Ave and Westchester ave,"Crotona Park East, West Bronx, Bronx",Crotona Park East,West Bronx,Bronx,1650.0,1.0,1
18417,"946 Bushwick Ave, Apt 2","Bushwick, Northern Brooklyn, Brooklyn",Bushwick,Northern Brooklyn,Brooklyn,2550.0,1.0,2
18418,"138 East 31st Street, Apt 10","Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",Rose Hill,Kips Bay,Manhattan,1950.0,1.0,0
18419,North End Avenue,"Battery Park City, Downtown Manhattan, Manhattan",Battery Park City,Downtown Manhattan,Manhattan,3750.0,1.0,0
18420,West 60th Street,"Lincoln Square, Upper West Side, Upper Manhattan, Manhattan",Lincoln Square,Upper West Side,Manhattan,3497.0,1.0,1
18421,"230 Riverside Drive, Apt 4K","Upper West Side, Upper Manhattan, Manhattan",Upper West Side,Upper Manhattan,Manhattan,3350.0,1.0,1
18422,E 13th St,"East Village, Downtown Manhattan, Manhattan",East Village,Downtown Manhattan,Manhattan,5295.0,1.0,3
18423,East 14th Street,"Alphabet City, East Village, Downtown Manhattan, Manhattan",Alphabet City,East Village,Manhattan,3400.0,1.0,0
18424,West 31st Street,"Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,3200.0,1.0,0
18425,Lafayette Ave & Flatbush Ave,"Fort Greene, Northwestern Brooklyn, Brooklyn",Fort Greene,Northwestern Brooklyn,Brooklyn,2700.0,1.0,0
18426,Stanton Street,"Lower East Side, Downtown Manhattan, Manhattan",Lower East Side,Downtown Manhattan,Manhattan,4900.0,1.0,3
18427,E 2nd St.,"Alphabet City, East Village, Downtown Manhattan, Manhattan",Alphabet City,East Village,Manhattan,3400.0,1.0,2
18428,West 31st Street,"Chelsea, Midtown Manhattan, Manhattan",Chelsea,Midtown Manhattan,Manhattan,3095.0,1.0,0
18429,Steinway,"Astoria, Northwestern Queens, Queens",Astoria,Northwestern Queens,Queens,1900.0,1.0,1
18430,East 78th Street,"Upper East Side, Upper Manhattan, Manhattan",Upper East Side,Upper Manhattan,Manhattan,3500.0,1.0,0
18431,East 79th street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,3200.0,1.0,1
18432,108th & Broadway,"Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",Manhattan Valley,Upper West Side,Manhattan,3195.0,2.0,3
18433,Bedford avenue,"Williamsburg, Northern Brooklyn, Brooklyn",Williamsburg,Northern Brooklyn,Brooklyn,3000.0,1.0,1
18434,East 84th street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",Yorkville,Upper East Side,Manhattan,1695.0,1.0,0
18435,Lex ave & E 46th st,"Turtle Bay, Midtown East, Midtown Manhattan, Manhattan",Turtle Bay,Midtown East,Manhattan,2850.0,1.0,0
18436,East 3rd Street,"Alphabet City, East Village, Downtown Manhattan, Manhattan",Alphabet City,East Village,Manhattan,3025.0,1.0,1
18437,"1677 President Street, Apt 12","Crown Heights, Central Brooklyn, Brooklyn",Crown Heights,Central Brooklyn,Brooklyn,2100.0,1.0,2
18438,E 15,"Gramercy Park, Midtown Manhattan, Manhattan",Gramercy Park,Midtown Manhattan,Manhattan,4495.0,1.0,3
